iter	Passed	Remaining
1559	5466	5045
1560	5469	5042
1561	5474	5039
1562	5477	5035
1563	5479	5030
1564	5481	5026
1565	5483	5021
1566	5488	5019
1567	5492	5016
1568	5496	5013
1569	5498	5008
1570	5504	5006
1571	5506	5002
1572	5509	4998
1573	5511	4993
1574	5514	4989
1575	5517	4985
1576	5520	4981
1577	5524	4978
1578	5531	4977
1579	5534	4974
1580	5538	4971
1581	5541	4966
1582	5543	4961
1583	5545	4957
1584	5549	4953
1585	5553	4950
1586	5555	4946
1587	5557	4941
1588	5560	4937
1589	5562	4932
1590	5565	4928
1591	5568	4924
1592	5571	4920
1593	5574	4917
1594	5578	4913
1595	5584	4912
1596	5588	4909
1597	5590	4904
1598	5593	4900
1599	5596	4896
1600	5601	4894
1601	5606	4892
1602	5616	4894
1603	5621	4892
1604	5623	4888
1605	5627	4884
1606	5634	4883
1607	5637	4879
1608	5639	4875
1609	5642	4871
1610	5645	4867
1611	5648	4863
1612	5651	4859
1613	5654	4855
1614	5657	4851
1615	5661	4848
1616	5664	4844
1617	5668	4841
1618	5671	4837
1619	5673	4832
1620	5675	4828
1621	5677	4823
1622	5679	4819
1623	5682	4814
1624	5684	4809
1625	5686	4805
1626	5688	4800
1627	5690	4796
1628	5693	4791
1629	5695	4787
1630	5697	4782
1631	5700	4778
1632	5702	4773
1633	5704	4768
1634	5707	4765
1635	5712	4762
1636	5718	4760
1637	5724	4759
1638	5731	4759
1639	5733	4755
1640	5736	4750
1641	5742	4749
1642	5746	4746
1643	5748	4741
1644	5752	4738
1645	5755	4734
1646	5758	4730
1647	5760	4726
1648	5764	4722
1649	5767	4718
1650	5769	4714
1651	5771	4709
1652	5773	4705
1653	5776	4700
1654	5778	4695
1655	5780	4691
1656	5782	4686
1657	5784	4682
1658	5787	4678
1659	5790	4674
1660	5792	4669
1661	5794	4665
1662	5796	4660
1663	5799	4656
1664	5802	4652
1665	5804	4647
1666	5806	4643
1667	5809	4638
1668	5811	4634
1669	5813	4629
1670	5815	4625
1671	5819	4621
1672	5821	4617
1673	5826	4615
1674	5828	4610
1675	5832	4607
1676	5835	4603
1677	5842	4603
1678	5848	4601
1679	5852	4598
1680	5855	4594
1681	5858	4590
1682	5863	4588
1683	5865	4584
1684	5868	4579
1685	5871	4576
